ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
71960,71960,66041,19168,249,26,229,1,2,2,297,23,50,78,23,33710,41841,19,887,57126,57133,57137,52,73,77,797,50,60,24,271
109943,109939,102517,6880,267,30,249,1,2,2,302,22,50,77,25,14646,15777,19,957,19634,19633,19635,51,72,77,792,50,61,23,275
72,68,69,67,1,1,1,1,2,2,56,19,32,31,1,67,67,17,5,67,67,67,30,33,32,61,28,32,19,57
4,4,4,4,1,1,1,1,1,2,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,1,1,1,1,2,1,4,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
360,360,359,314,64,15,63,1,2,2,176,22,49,66,18,313,314,19,30,316,316,316,51,61,66,224,50,56,23,174
11,11,11,11,1,1,1,1,2,1,11,8,10,10,1,11,11,9,2,11,11,11,10,10,10,11,10,10,8,11
13842,13842,13545,2849,199,28,186,1,2,2,296,22,50,77,24,3660,3823,19,405,3982,3982,3982,51,64,77,678,50,58,23,269
4186,4186,4152,1801,163,23,150,1,2,2,291,22,50,77,22,2129,2185,19,195,2231,2231,2231,51,62,77,610,50,59,23,265
144736,144736,117240,4788,275,30,256,1,2,2,294,22,50,77,24,7486,8211,19,741,8901,8901,8901,51,65,77,721,50,59,23,270
29718,29718,28331,4088,245,28,225,1,2,2,297,22,50,77,24,6232,6796,19,502,7278,7277,7278,51,61,77,703,50,58,23,270
3,3,3,3,1,1,1,1,2,2,3,3,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3
676278,676277,578096,36611,349,33,326,1,2,2,300,24,50,78,25,59884,94234,19,1197,250255,250207,250362,52,78,77,800,50,61,24,274
123301,123301,116660,7555,257,29,240,1,2,2,302,23,50,77,24,18042,18906,19,936,24444,24439,24444,51,71,77,793,50,61,23,275
5147,5147,5064,2030,140,24,131,1,2,2,294,22,50,77,22,2162,2156,19,264,2214,2214,2214,50,61,77,653,50,59,22,270
19,19,19,19,1,1,1,1,2,2,17,12,16,14,1,19,19,12,2,19,19,19,16,14,14,18,16,14,12,17
1803447,1803311,1019425,54067,378,33,356,1,2,2,301,24,50,78,26,73297,123083,19,1499,577552,577260,578084,52,82,77,800,50,61,24,275
